file,section,subcategory,index,bars,time_signature,bpm,tracks,license,notes
A/nylon_guitar_arpeggio/a_nylon_guitar_arpeggio_22_94bpm.mid,A,nylon guitar arpeggio,22,4,4/4,94,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/nylon_guitar_arpeggio/a_nylon_guitar_arpeggio_23_82bpm.mid,A,nylon guitar arpeggio,23,4,4/4,82,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/nylon_guitar_arpeggio/a_nylon_guitar_arpeggio_24_86bpm.mid,A,nylon guitar arpeggio,24,4,4/4,86,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/ballad_slow_accompaniment/a_ballad_slow_accompaniment_25_80bpm.mid,A,ballad slow accompaniment,25,4,4/4,80,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/ballad_slow_accompaniment/a_ballad_slow_accompaniment_26_85bpm.mid,A,ballad slow accompaniment,26,4,4/4,85,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/ballad_slow_accompaniment/a_ballad_slow_accompaniment_27_90bpm.mid,A,ballad slow accompaniment,27,4,4/4,90,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/ballad_slow_accompaniment/a_ballad_slow_accompaniment_28_95bpm.mid,A,ballad slow accompaniment,28,4,4/4,95,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/calm_ambient_sparse_arp/a_calm_ambient_sparse_arp_29_80bpm.mid,A,calm ambient sparse arp,29,4,4/4,80,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/calm_ambient_sparse_arp/a_calm_ambient_sparse_arp_30_88bpm.mid,A,calm ambient sparse arp,30,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/simple_folk_groove/b_simple_folk_groove_01_84bpm.mid,B,simple folk groove,1,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/simple_folk_groove/b_simple_folk_groove_02_88bpm.mid,B,simple folk groove,2,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/simple_folk_groove/b_simple_folk_groove_03_92bpm.mid,B,simple folk groove,3,4,4/4,92,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/simple_folk_groove/b_simple_folk_groove_04_96bpm.mid,B,simple folk groove,4,4,4/4,96,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/soft_pop_groove/b_soft_pop_groove_05_84bpm.mid,B,soft pop groove,5,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/soft_pop_groove/b_soft_pop_groove_06_88bpm.mid,B,soft pop groove,6,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/soft_pop_groove/b_soft_pop_groove_07_92bpm.mid,B,soft pop groove,7,4,4/4,92,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/soft_pop_groove/b_soft_pop_groove_08_96bpm.mid,B,soft pop groove,8,4,4/4,96,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/light_rock_pop_groove/b_light_rock_pop_groove_09_84bpm.mid,B,light rock pop groove,9,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/light_rock_pop_groove/b_light_rock_pop_groove_10_88bpm.mid,B,light rock pop groove,10,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/light_rock_pop_groove/b_light_rock_pop_groove_11_92bpm.mid,B,light rock pop groove,11,4,4/4,92,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/light_rock_pop_groove/b_light_rock_pop_groove_12_96bpm.mid,B,light rock pop groove,12,4,4/4,96,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/reggae_offbeat_groove/b_reggae_offbeat_groove_13_84bpm.mid,B,reggae offbeat groove,13,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/reggae_offbeat_groove/b_reggae_offbeat_groove_14_88bpm.mid,B,reggae offbeat groove,14,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/reggae_offbeat_groove/b_reggae_offbeat_groove_15_92bpm.mid,B,reggae offbeat groove,15,4,4/4,92,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/reggae_offbeat_groove/b_reggae_offbeat_groove_16_96bpm.mid,B,reggae offbeat groove,16,4,4/4,96,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/house_offbeat_hat_groove/b_house_offbeat_hat_groove_17_84bpm.mid,B,house offbeat hat groove,17,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/house_offbeat_hat_groove/b_house_offbeat_hat_groove_18_88bpm.mid,B,house offbeat hat groove,18,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/house_offbeat_hat_groove/b_house_offbeat_hat_groove_19_92bpm.mid,B,house offbeat hat groove,19,4,4/4,92,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/house_offbeat_hat_groove/b_house_offbeat_hat_groove_20_96bpm.mid,B,house offbeat hat groove,20,4,4/4,96,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/syncopated_pop_groove/b_syncopated_pop_groove_21_84bpm.mid,B,syncopated pop groove,21,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/syncopated_pop_groove/b_syncopated_pop_groove_22_88bpm.mid,B,syncopated pop groove,22,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/syncopated_pop_groove/b_syncopated_pop_groove_23_92bpm.mid,B,syncopated pop groove,23,4,4/4,92,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
B/syncopated_pop_groove/b_syncopated_pop_groove_24_96bpm.mid,B,syncopated pop groove,24,4,4/4,96,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/simple_melody_motif/c_simple_melody_motif_01_84bpm.mid,C,simple melody motif,1,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/simple_melody_motif/c_simple_melody_motif_02_88bpm.mid,C,simple melody motif,2,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/simple_melody_motif/c_simple_melody_motif_03_92bpm.mid,C,simple melody motif,3,4,4/4,92,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/simple_melody_motif/c_simple_melody_motif_04_96bpm.mid,C,simple melody motif,4,4,4/4,96,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/simple_melody_motif/c_simple_melody_motif_05_84bpm.mid,C,simple melody motif,5,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/simple_melody_motif/c_simple_melody_motif_06_88bpm.mid,C,simple melody motif,6,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/folk_warm_motif/c_folk_warm_motif_07_82bpm.mid,C,folk warm motif,7,4,4/4,82,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/folk_warm_motif/c_folk_warm_motif_08_85bpm.mid,C,folk warm motif,8,4,4/4,85,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/folk_warm_motif/c_folk_warm_motif_09_88bpm.mid,C,folk warm motif,9,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/folk_warm_motif/c_folk_warm_motif_10_91bpm.mid,C,folk warm motif,10,4,4/4,91,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/folk_warm_motif/c_folk_warm_motif_11_94bpm.mid,C,folk warm motif,11,4,4/4,94,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/folk_warm_motif/c_folk_warm_motif_12_82bpm.mid,C,folk warm motif,12,4,4/4,82,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/bright_happy_motif/c_bright_happy_motif_13_90bpm.mid,C,bright happy motif,13,4,4/4,90,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/bright_happy_motif/c_bright_happy_motif_14_92bpm.mid,C,bright happy motif,14,4,4/4,92,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/bright_happy_motif/c_bright_happy_motif_15_94bpm.mid,C,bright happy motif,15,4,4/4,94,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/bright_happy_motif/c_bright_happy_motif_16_96bpm.mid,C,bright happy motif,16,4,4/4,96,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/calm_sparse_motif/c_calm_sparse_motif_17_80bpm.mid,C,calm sparse motif,17,4,4/4,80,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/calm_sparse_motif/c_calm_sparse_motif_18_84bpm.mid,C,calm sparse motif,18,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/calm_sparse_motif/c_calm_sparse_motif_19_88bpm.mid,C,calm sparse motif,19,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/calm_sparse_motif/c_calm_sparse_motif_20_92bpm.mid,C,calm sparse motif,20,4,4/4,92,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/question_answer_phrase/c_question_answer_phrase_21_84bpm.mid,C,question answer phrase,21,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/question_answer_phrase/c_question_answer_phrase_22_88bpm.mid,C,question answer phrase,22,4,4/4,88,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/question_answer_phrase/c_question_answer_phrase_23_92bpm.mid,C,question answer phrase,23,4,4/4,92,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
C/question_answer_phrase/c_question_answer_phrase_24_96bpm.mid,C,question answer phrase,24,4,4/4,96,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
